doc_id,title,product_text,category_level_1,material_or_product,manufacturer,source_type,source_file,declared_unit,thickness_mm_ref,mass_per_m2,system_boundary,geography,year,raw_text_path,parse_status
coal_0001,Quality Guidelines for Energy System Studies: Detailed Coal Specifications,Title: Quality Guidelines for Energy System Studies: Detailed Coal Specifications. Category: fuel; material or product: coal.,fuel,coal,,spec,data/Coal_EPD/coal_specs/QGESSDetailedCoalSpecifications_010112.pdf,,,,,,,,needs_ocr
coal_0002,ds975,Title: ds975. Category: fuel; material or product: coal.,fuel,coal,,other,data/Coal_EPD/unknown/ds975.pdf,,,,,,,,needs_ocr
glass_0001,AGC GLASS EUROPE,Title: AGC GLASS EUROPE. Category: glass; material or product: clearlite glass. Manufacturer: AGC.,glass,clearlite_glass,AGC,epd,data/Glass_EPD/AGC 4 mm Low-Carbon Planibel Clearlite.pdf,,,,,,,,needs_ocr
glass_0002,EPD document S P 08821 en,Title: EPD document S P 08821 en. Category: glass; material or product: glass.,glass,glass,,epd,data/Glass_EPD/EPD document S-P-08821 en.pdf,,,,,,,,needs_ocr
glass_0003,EPD document S P 08822 en,Title: EPD document S P 08822 en. Category: glass; material or product: glass.,glass,glass,,epd,data/Glass_EPD/EPD document S-P-08822 en.pdf,,,,,,,,needs_ocr
glass_0004,EPD document S P 08825 en,Title: EPD document S P 08825 en. Category: glass; material or product: glass.,glass,glass,,epd,data/Glass_EPD/EPD document S-P-08825 en.pdf,,,,,,,,needs_ocr
glass_0005,EPD document S P 11498 en,Title: EPD document S P 11498 en. Category: glass; material or product: glass.,glass,glass,,epd,data/Glass_EPD/EPD document S-P-11498 en.pdf,,,,,,,,needs_ocr
glass_0006,Pilkington Thermally Toughened Offline Coated Low iron Float Glass,Title: Pilkington Thermally Toughened Offline Coated Low iron Float Glass. Category: glass; material or product: low iron float glass. Manufacturer: Pilkington.,glass,low_iron_float_glass,Pilkington,epd,data/Glass_EPD/Pilkington Thermally Toughened Offline Coated Low-iron Float Glass.pdf,,,,,,,,needs_ocr
glass_0007,Pilkington Float Glass,Title: Pilkington Float Glass. Category: glass; material or product: float glass. Manufacturer: Pilkington.,glass,float_glass,Pilkington,epd,data/Glass_EPD/Pilkington_Float_Glass.pdf,,,,,,,,needs_ocr
glass_0008,Pilkington Low iron Float Glass,Title: Pilkington Low iron Float Glass. Category: glass; material or product: low iron float glass. Manufacturer: Pilkington.,glass,low_iron_float_glass,Pilkington,epd,data/Glass_EPD/Pilkington_Low_iron_Float_Glass.pdf,,,,,,,,needs_ocr
glass_0009,Pilkington Patterned Glass2,Title: Pilkington Patterned Glass2. Category: glass; material or product: patterned glass. Manufacturer: Pilkington.,glass,patterned_glass,Pilkington,epd,data/Glass_EPD/Pilkington_Patterned_Glass2.pdf,,,,,,,,needs_ocr
glass_0010,Pilkington Thermally Toughened Float Glass,Title: Pilkington Thermally Toughened Float Glass. Category: glass; material or product: thermally toughened float glass. Manufacturer: Pilkington.,glass,thermally_toughened_float_glass,Pilkington,epd,data/Glass_EPD/Pilkington_Thermally_Toughened_Float_Glass.pdf,,,,,,,,needs_ocr
glass_0011,Sisecam Patterned Glass,Title: Sisecam Patterned Glass. Category: glass; material or product: patterned glass. Manufacturer: Sisecam.,glass,patterned_glass,Sisecam,epd,data/Glass_EPD/Sisecam_Patterned_Glass.pdf,,,,,,,,needs_ocr
glass_0012,Sisecam Solar Glass,Title: Sisecam Solar Glass. Category: glass; material or product: solar glass. Manufacturer: Sisecam.,glass,solar_glass,Sisecam,epd,data/Glass_EPD/Sisecam_Solar_Glass.pdf,,,,,,,,needs_ocr
mat_0001,df 3015 2026pdf,Title: df 3015 2026pdf. Category: raw_material; material or product: dolomite.,raw_material,dolomite,,other,data/Material_EPD/dolomite/df_3015_2026pdf.pdf,,,,,,,,needs_ocr
mat_0002,gs 2005 2026pdf,Title: gs 2005 2026pdf. Category: raw_material; material or product: dolomite. Key specs: year 2005.,raw_material,dolomite,,other,data/Material_EPD/dolomite/gs-2005_2026pdf.pdf,,,,,,2005,,needs_ocr
mat_0003,IS 9749 \(2007\,Title: IS 9749 \(2007\. Category: raw_material; material or product: feldspar. Key specs: year 2007.,raw_material,feldspar,,standard,data/Material_EPD/feldspar/is.9749.2007.pdf,,,,,,2007,,needs_ocr
mat_0004,EPD document EPD IES 0024953 003 en copy,Title: EPD document EPD IES 0024953 003 en copy. Category: raw_material; material or product: limestone.,raw_material,limestone,,epd,data/Material_EPD/limestone/EPD document EPD-IES-0024953_003 en copy.pdf,,,,,,,,needs_ocr
mat_0005,EPD document EPD IES 0024953 003 en duplicate top level,Title: EPD document EPD IES 0024953 003 en duplicate top level. Category: raw_material; material or product: limestone.,raw_material,limestone,,epd,data/Material_EPD/limestone/EPD document EPD-IES-0024953_003 en duplicate top-level.pdf,,,,,,,,needs_ocr
mat_0006,EPD document EPD IES 0024953 003 en,Title: EPD document EPD IES 0024953 003 en. Category: raw_material; material or product: limestone.,raw_material,limestone,,epd,data/Material_EPD/limestone/EPD document EPD-IES-0024953_003 en.pdf,,,,,,,,needs_ocr
