sample_id,doc_id,product_text,category_level_1,material_or_product,proposed_naics_code,gold_naics_code,label_status,comments
aux_0001,coal_0001,Title: Quality Guidelines for Energy System Studies: Detailed Coal Specifications. Category: fuel; material or product: coal.,fuel,coal,21211,,unlabeled,
aux_0002,coal_0002,Title: ds975. Category: fuel; material or product: coal.,fuel,coal,21211,,unlabeled,
aux_0003,glass_0001,Title: AGC GLASS EUROPE. Category: glass; material or product: clearlite glass. Manufacturer: AGC.,glass,clearlite_glass,327211,,unlabeled,
aux_0004,glass_0002,Title: EPD document S P 08821 en. Category: glass; material or product: glass.,glass,glass,,,unlabeled,
aux_0005,glass_0003,Title: EPD document S P 08822 en. Category: glass; material or product: glass.,glass,glass,,,unlabeled,
aux_0006,glass_0004,Title: EPD document S P 08825 en. Category: glass; material or product: glass.,glass,glass,,,unlabeled,
aux_0007,glass_0005,Title: EPD document S P 11498 en. Category: glass; material or product: glass.,glass,glass,,,unlabeled,
aux_0008,glass_0006,Title: Pilkington Thermally Toughened Offline Coated Low iron Float Glass. Category: glass; material or product: low iron float glass. Manufacturer: Pilkington.,glass,low_iron_float_glass,327211,,unlabeled,
aux_0009,glass_0007,Title: Pilkington Float Glass. Category: glass; material or product: float glass. Manufacturer: Pilkington.,glass,float_glass,327211,,unlabeled,
aux_0010,glass_0008,Title: Pilkington Low iron Float Glass. Category: glass; material or product: low iron float glass. Manufacturer: Pilkington.,glass,low_iron_float_glass,327211,,unlabeled,
aux_0011,glass_0009,Title: Pilkington Patterned Glass2. Category: glass; material or product: patterned glass. Manufacturer: Pilkington.,glass,patterned_glass,327211,,unlabeled,
aux_0012,glass_0010,Title: Pilkington Thermally Toughened Float Glass. Category: glass; material or product: thermally toughened float glass. Manufacturer: Pilkington.,glass,thermally_toughened_float_glass,327211,,unlabeled,
aux_0013,glass_0011,Title: Sisecam Patterned Glass. Category: glass; material or product: patterned glass. Manufacturer: Sisecam.,glass,patterned_glass,327211,,unlabeled,
aux_0014,glass_0012,Title: Sisecam Solar Glass. Category: glass; material or product: solar glass. Manufacturer: Sisecam.,glass,solar_glass,327211,,unlabeled,
aux_0015,mat_0001,Title: df 3015 2026pdf. Category: raw_material; material or product: dolomite.,raw_material,dolomite,,,unlabeled,
aux_0016,mat_0002,Title: gs 2005 2026pdf. Category: raw_material; material or product: dolomite. Key specs: year 2005.,raw_material,dolomite,,,unlabeled,
aux_0017,mat_0003,Title: IS 9749 \(2007\. Category: raw_material; material or product: feldspar. Key specs: year 2007.,raw_material,feldspar,,,unlabeled,
aux_0018,mat_0004,Title: EPD document EPD IES 0024953 003 en copy. Category: raw_material; material or product: limestone.,raw_material,limestone,212312,,unlabeled,
aux_0019,mat_0005,Title: EPD document EPD IES 0024953 003 en duplicate top level. Category: raw_material; material or product: limestone.,raw_material,limestone,212312,,unlabeled,
aux_0020,mat_0006,Title: EPD document EPD IES 0024953 003 en. Category: raw_material; material or product: limestone.,raw_material,limestone,212312,,unlabeled,
aux_0021,mat_0007,Title: EPD document S P 12716 en duplicate top level. Category: raw_material; material or product: silica sand.,raw_material,silica_sand,212322,,unlabeled,
aux_0022,mat_0008,Title: EPD document S P 12716 en. Category: raw_material; material or product: silica sand.,raw_material,silica_sand,212322,,unlabeled,
aux_0023,mat_0009,Title: EPD document EPD IES 0028701 002 en. Category: raw_material; material or product: silica sand.,raw_material,silica_sand,212322,,unlabeled,
aux_0024,mat_0010,Title: EPD document EPD IES 0030293 001 en duplicate top level. Category: raw_material; material or product: silica sand.,raw_material,silica_sand,212322,,unlabeled,
aux_0025,mat_0011,Title: EPD document EPD IES 0030293 001 en. Category: raw_material; material or product: silica sand.,raw_material,silica_sand,212322,,unlabeled,
aux_0026,mat_0012,Title: Dense Ash TCNA copy. Category: raw_material; material or product: soda ash.,raw_material,soda_ash,,,unlabeled,
aux_0027,mat_0013,Title: Dense Ash TCNA. Category: raw_material; material or product: soda ash.,raw_material,soda_ash,,,unlabeled,
aux_0028,mat_0014,Title: EPD document EPD IES 0025910 004 en. Category: raw_material; material or product: unknown.,raw_material,unknown,,,unlabeled,
aux_0029,mat_0015,Title: EPD document EPD IES 0030299 001 en. Category: raw_material; material or product: unknown.,raw_material,unknown,,,unlabeled,
