slice_name,slice_value,n,mae,confidence,retained
text_length_slice,short,4321,0.13608562169543284,0.5161074073571215,0.5098356861837537
text_length_slice,long,4255,0.13586271336939057,0.5124151586052648,0.4874265569917744
has_brand_like_token,0,920,0.1415693029249718,0.5187973665532364,0.5358695652173913
has_brand_like_token,1,7656,0.1352902806708954,0.5137321094339794,0.4942528735632184
has_spec_terms,0,5252,0.12813399525144933,0.5276562337406792,0.5466488956587966
has_spec_terms,1,3324,0.1484739892186431,0.49313359429887993,0.4229843561973526
has_digit_heuristic,0,1171,0.12674469417642445,0.5352878942092333,0.5636208368915457
has_digit_heuristic,1,7405,0.13745428351567546,0.5109526648124931,0.4884537474679271
naics_frequency_slice,head,6774,0.11506725373480972,0.5263186077922418,0.5312961322704458
naics_frequency_slice,tail,171,0.3579466910245729,0.4074248904162587,0.2807017543859649
